Date,Pixel 1,Pixel 2,Pixel 3,Pixel 4,Pixel 5,Pixel 6,Pixel 7,Pixel 8,Pixel 9,Pixel 10,Pixel 11,Pixel 12,Pixel 13,Pixel 14,Pixel 15,Pixel 16,Pixel 17,Pixel 18,Pixel 19,Pixel 20,Pixel 21,Pixel 22,Pixel 23,Pixel 24,Pixel 25,Pixel 26,Pixel 27,Pixel 28,Pixel 29,Pixel 30,Pixel 31,Pixel 32,Pixel 33,Pixel 34,Pixel 35,Pixel 36,Pixel 37
6/10/2018,-0.007358,0.003095,-0.004199,-0.005303,-0.00604,-0.00604,-0.008562,-0.012313,-0.004599,-0.009662,-0.005649,-0.005649,-0.008562,-0.003883,-0.004525,-0.002671,-0.010258,-0.005649,-0.001893,-0.001893,-0.009186,0.006158,-0.010258,-0.010258,-0.011301,-0.007723,-0.007723,-0.00463,0.006158,-0.005303,-0.005303,-0.006098,-0.00463,-0.00463,-0.005303,-0.006098,-0.013511
18/10/2018,-0.006945,0.001331,-0.000043,-0.00234,0.000802,0.000802,-0.006019,-0.015936,-0.010558,0.002467,0.004613,0.004613,-0.006019,-0.014423,-0.003557,0.010169,-0.003595,0.004613,-0.005697,-0.005697,-0.004962,0.002867,-0.003595,-0.003595,-0.014513,-0.00694,-0.00694,0.001555,0.002867,0.001011,0.001011,-0.003203,0.001555,0.001555,0.001011,-0.003203,0.004683
30/10/2018,-0.011613,-0.00875,-0.007387,-0.014032,-0.018372,-0.018372,-0.008943,-0.016826,-0.010822,-0.013342,-0.009874,-0.009874,-0.008943,-0.01332,-0.010942,-0.001655,-0.010076,-0.009874,-0.007798,-0.007798,-0.004195,-0.008688,-0.010076,-0.010076,-0.014119,-0.009099,-0.009099,-0.010822,-0.008688,-0.01085,-0.01085,-0.010555,-0.010822,-0.010822,-0.01085,-0.010555,-0.014436
11/11/2018,-0.009453,-0.006765,-0.009952,-0.018605,-0.011786,-0.011786,-0.00976,-0.01368,-0.008358,-0.010446,-0.003763,-0.003763,-0.00976,-0.009811,-0.00955,0.001938,-0.011077,-0.003763,-0.003957,-0.003957,-0.000632,0.000426,-0.011077,-0.011077,-0.014256,-0.005299,-0.005299,-0.007666,0.000426,-0.009918,-0.009918,-0.010907,-0.007666,-0.007666,-0.009918,-0.010907,-0.010251
23/11/2018,-0.013477,-0.010233,-0.012385,-0.009361,-0.008723,-0.008723,-0.006607,-0.01105,-0.011153,-0.008688,-0.006914,-0.006914,-0.006607,-0.006228,-0.006532,-0.004939,-0.019345,-0.006914,-0.005117,-0.005117,-0.003571,-0.004126,-0.019345,-0.019345,-0.013369,-0.009239,-0.009239,-0.019389,-0.004126,-0.016936,-0.016936,-0.008154,-0.019389,-0.019389,-0.016936,-0.008154,-0.009964
5/12/2018,-0.014128,-0.013938,-0.010034,-0.015106,-0.027249,-0.027249,-0.006817,-0.007454,-0.01337,-0.006509,-0.008504,-0.008504,-0.006817,-0.015342,-0.005652,-0.006014,-0.015298,-0.008504,-0.004246,-0.004246,-0.006381,-0.003122,-0.015298,-0.015298,-0.013363,-0.014419,-0.014419,-0.013201,-0.003122,-0.010453,-0.010453,-0.009956,-0.013201,-0.013201,-0.010453,-0.009956,-0.021939
17/12/2018,-0.014876,-0.008712,-0.009329,-0.007452,-0.012019,-0.012019,-0.009813,-0.016577,-0.013818,-0.010764,-0.009817,-0.009817,-0.009813,-0.011085,-0.010393,-0.006322,-0.021489,-0.009817,-0.009294,-0.009294,-0.004004,-0.001291,-0.021489,-0.021489,-0.008561,-0.012679,-0.012679,-0.022188,-0.001291,-0.017034,-0.017034,-0.012321,-0.022188,-0.022188,-0.017034,-0.012321,-0.019245
29/12/2018,-0.01051,-0.006022,-0.006694,-0.006438,-0.018238,-0.018238,-0.006984,-0.024798,-0.003705,-0.012412,-0.002388,-0.002388,-0.006984,-0.015434,-0.004805,0.005121,-0.009001,-0.002388,-0.010155,-0.010155,-0.00584,-0.00391,-0.009001,-0.009001,-0.018103,-0.023066,-0.023066,-0.009304,-0.00391,-0.00998,-0.00998,-0.006904,-0.009304,-0.009304,-0.00998,-0.006904,-0.006818
10/01/2019,-0.013661,-0.005954,-0.006473,-0.013756,-0.012973,-0.012973,-0.005199,-0.016626,-0.011819,-0.011677,-0.009773,-0.009773,-0.005199,-0.00751,-0.000717,-0.006699,-0.011238,-0.009773,-0.004951,-0.004951,-0.00589,0.00361,-0.011238,-0.011238,-0.007891,-0.004497,-0.004497,-0.012322,0.00361,-0.012497,-0.012497,-0.004738,-0.012322,-0.012322,-0.012497,-0.004738,-0.010645
22/01/2019,-0.01413,-0.018219,-0.008105,-0.015741,-0.013478,-0.013478,-0.015773,-0.021272,-0.017777,-0.020985,-0.004509,-0.004509,-0.015773,-0.000557,-0.012903,-0.006407,-0.014659,-0.004509,-0.009436,-0.009436,-0.010005,-0.005556,-0.014659,-0.014659,-0.002657,-0.018814,-0.018814,-0.010845,-0.005556,-0.007193,-0.007193,-0.00739,-0.010845,-0.010845,-0.007193,-0.00739,-0.011546
Easting,592350,592370,592390,592330,592350,592370,592390,592410,592310,592330,592350,592370,592390,592410,592430,592310,592330,592350,592370,592390,592410,592430,592310,592330,592350,592370,592390,592410,592430,592330,592350,592370,592390,592410,592350,592370,592390
Northing,7775210,7775210,7775210,7775190,7775190,7775190,7775190,7775190,7775170,7775170,7775170,7775170,7775170,7775170,7775170,7775150,7775150,7775150,7775150,7775150,7775150,7775150,7775130,7775130,7775130,7775130,7775130,7775130,7775130,7775110,7775110,7775110,7775110,7775110,7775090,7775090,7775090
